question,answer1,answer2,answer3
________ feels angry.,she,he,Courtney
________ feels annoyed.,she,he,Courtney
________ feels anxious.,she,he,Courtney
________ feels depressed.,she,Heather,Courtney
________ feels devastated.,she,Courtney,Betsy
________ feels disappointed.,he,she,Courtney
________ feels discouraged.,she,he,Courtney
________ feels ecstatic.,she,he,Courtney
________ feels enraged.,she,he,Courtney
________ feels excited.,she,he,Heather
________ feels fearful.,she,he,Courtney
________ feels furious.,he,she,Jack
________ feels glad.,she,he,my dad
________ feels happy.,she,he,my dad
________ feels irritated.,she,Heather,he
________ feels miserable.,she,he,Courtney
________ feels relieved.,he,she,Courtney
________ feels sad.,she,he,Courtney
________ feels scared.,she,he,Courtney
________ feels terrified.,she,Courtney,Heather
________ found herself in a depressing situation.,this woman,she,this girl
________ found herself in a displeasing situation.,this woman,she,this girl
________ found herself in a dreadful situation.,this woman,she,this girl
________ found herself in a funny situation.,this woman,she,this girl
________ found herself in a gloomy situation.,this woman,she,this girl
________ found herself in a great situation.,this woman,she,this girl
________ found herself in a grim situation.,this woman,she,this girl
________ found herself in a heartbreaking situation.,this woman,she,this girl
________ found herself in a hilarious situation.,this woman,she,this girl
________ found herself in a horrible situation.,this woman,she,this girl
________ found herself in a serious situation.,this woman,she,this girl
________ found herself in a shocking situation.,this woman,she,this girl
________ found herself in a terrifying situation.,this woman,she,this girl
________ found herself in a threatening situation.,this woman,she,this girl
________ found herself in a vexing situation.,this woman,she,this girl
________ found herself in a wonderful situation.,this woman,she,this girl
________ found herself in an amazing situation.,this woman,she,this girl
________ found herself in an annoying situation.,this woman,she,this girl
________ found herself in an irritating situation.,this woman,she,this girl
________ found herself in an outrageous situation.,this woman,she,this girl
________ found himself in a depressing situation.,this man,he,this boy
________ found himself in a displeasing situation.,this man,he,this boy
________ found himself in a dreadful situation.,this man,he,this boy
________ found himself in a funny situation.,this man,he,this boy
________ found himself in a gloomy situation.,he,this man,this boy
________ found himself in a great situation.,this man,he,this boy
________ found himself in a grim situation.,this man,he,this boy
________ found himself in a heartbreaking situation.,this man,he,this boy
________ found himself in a hilarious situation.,this man,he,this boy
________ found himself in a horrible situation.,this man,he,this boy
________ found himself in a serious situation.,this man,he,this boy
________ found himself in a shocking situation.,this man,he,this boy
________ found himself in a terrifying situation.,this man,he,this boy
________ found himself in a threatening situation.,he,this man,this boy
________ found himself in a vexing situation.,this man,he,this boy
________ found himself in a wonderful situation.,this man,he,this boy
________ found himself in an amazing situation.,this man,he,this boy
________ found himself in an annoying situation.,this man,he,this boy
________ found himself in an irritating situation.,he,this man,this boy
________ found himself in an outrageous situation.,this man,he,this boy
________ goes to the school in our neighborhood.,he,Latisha,she
________ has two children.,he,she,this woman
________ made me feel angry.,he,she,Courtney
________ made me feel annoyed.,he,she,Courtney
________ made me feel anxious.,she,he,Courtney
________ made me feel depressed.,she,he,Courtney
________ made me feel devastated.,he,she,this man
________ made me feel disappointed.,he,she,Courtney
________ made me feel discouraged.,he,she,Courtney
________ made me feel ecstatic.,he,she,Courtney
________ made me feel enraged.,he,she,this man
________ made me feel excited.,he,she,Courtney
________ made me feel fearful.,he,she,Courtney
________ made me feel furious.,he,she,this man
________ made me feel glad.,he,she,Courtney
________ made me feel happy.,she,he,this man
